Search Keyword,Driving Distance,Travel Time, Latitude,Longitude,Actual Address,Place_name,Google review rating out of 5,No of Ratings,Phone No,Website,Google Map link
Psychiatric hospital,16.78 Miles,21 mins,26.7616707,-80.087873,"West Palm Behavioral Health 2202 45th St, West Palm Beach, FL 33407, USA",West Palm Behavioral Health,3.7,3,(561) 964-7511,http://westpalmhospital.com/service/behavioral-health,https://maps.google.com/?cid=14905906883832844258
Psychiatric hospital,16.71 Miles,21 mins,26.7614991,-80.0869253,"Columbia Partial Hospital 2151 45th St, West Palm Beach, FL 33407, USA",Columbia Partial Hospital,4,1,(561) 882-0252,http://www.columbiahospital.com/,https://maps.google.com/?cid=17307041382521755216
Psychiatric hospital,16.71 Miles,21 mins,26.7598671,-80.0868531,"West Palm Behavioral Health 4631 N Congress Ave, West Palm Beach, FL 33407, USA",West Palm Behavioral Health,5,5,(561) 803-8219,http://efbhn.com/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://maps.google.com/?cid=7552579759452454296
Psychiatric hospital,34.11 Miles,44 mins,26.2132754,-80.256636,"University Pavilion-Behavioral Health 7425 N University Dr, Tamarac, FL 33321, USA",University Pavilion-Behavioral Health,2.3,5,(954) 724-6502,http://uhmchealth.com/service/behavioral-health,https://maps.google.com/?cid=8849062964851899258
Psychiatric hospital,18.77 Miles,25 mins,26.3436338,-80.1561563,"Boca Raton Psychiatric Group 7100 Camino Real Rd, Boca Raton, FL 33433, USA",Boca Raton Psychiatric Group,4,4,(561) 368-8998,http://www.bocapsychiatric.com/contact.html,https://maps.google.com/?cid=16911209520164670089
Psychiatric hospital,36.85 Miles,44 mins,26.977039,-80.101789,"SandyPines Residential Treatment Center 11301 SE Tequesta Terrace, Jupiter, FL 33469, USA",SandyPines Residential Treatment Center,2.9,5,(561) 744-0211,http://sandypineshospital.com/,https://maps.google.com/?cid=7103677048584070826
Psychiatric hospital,13.3 Miles,17 mins,26.7107935,-80.061196,"Peer Place Community Support Center 909 Fern St, West Palm Beach, FL 33401, USA",Peer Place Community Support Center,5,1,(561) 712-0584,Not available,https://maps.google.com/?cid=6375400812430357922
Psychiatric hospital,11.37 Miles,18 mins,26.4368927,-80.1205243,"South County Mental Health Center White Oaks Blvd, Delray Beach, FL 33445, USA",South County Mental Health Center,2.4,5,(561) 495-0522,http://www.scmhcinc.org/,https://maps.google.com/?cid=11168540061222631935
Psychiatric hospital,27.78 Miles,31 mins,26.2082026,-80.1569316,"Sylvia Brafman Mental Health Center 6555 Powerline Rd, Fort Lauderdale, FL 33309, USA",Sylvia Brafman Mental Health Center,3.7,5,(866) 756-4673,http://www.mentalhealthcenter.org/,https://maps.google.com/?cid=843040789280203838
Psychiatric hospital,35.73 Miles,42 mins,26.1385439,-80.2336407,"Apollo Group Home 6260 NW 12th St, Sunrise, FL 33313, USA",Apollo Group Home,Not available,0,(954) 581-5002,Not available,https://maps.google.com/?cid=12490343438503469925
Psychiatric hospital,15.47 Miles,22 mins,26.740575,-80.069984,"Jerome Golden Center for Behavior Health New Focus Building 2935 N Australian Ave, West Palm Beach, FL 33407, USA",Jerome Golden Center for Behavior Health New Focus Building,5,1,(561) 383-8000,Not available,https://maps.google.com/?cid=17557437396819943686
Psychiatric hospital,35.48 Miles,43 mins,26.1196936,-80.1267636,"Jennifer A. Murphy, LMHC 1601 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA","Jennifer A. Murphy, LMHC",Not available,0,(954) 463-4321,http://www.fortlauderdalehospital.org/,https://maps.google.com/?cid=9094516387693023340
Psychiatric hospital,18.77 Miles,25 mins,26.3435388,-80.1561818,"Novotny Kevin Psy D Mba 7100w W Camino Real, Boca Raton, FL 33433, USA",Novotny Kevin Psy D Mba,Not available,0,(561) 901-3660,Not available,https://maps.google.com/?cid=4174152091872243902
Psychiatric hospital,18.27 Miles,24 mins,26.3462167,-80.0880362,"Meadowsview Counseling Center 400 S Dixie Hwy, Boca Raton, FL 33432, USA",Meadowsview Counseling Center,Not available,0,(561) 392-0135,http://www.drcaroljcollins.com/,https://maps.google.com/?cid=3259287586234722561
Psychiatric hospital,35.11 Miles,43 mins,26.1387559,-80.1144298,"Howard Virginia 1040 Bayview Dr, Fort Lauderdale, FL 33304, USA",Howard Virginia,5,2,(954) 563-0388,Not available,https://maps.google.com/?cid=17536214110438390146
Psychiatric hospital,13.67 Miles,19 mins,26.392603,-80.075878,"Autism ABA Monarch Behavior Analysis LLC - Autism Therapy 4800 N Federal Hwy, Boca Raton, FL 33431, USA",Autism ABA Monarch Behavior Analysis LLC - Autism Therapy,5,5,(561) 900-5504,http://www.monarchbehavior.com/,https://maps.google.com/?cid=6446718531942499123
Psychiatric hospital,11.0 Miles,16 mins,26.437918,-80.119003,"Florida Complete Psychiatry e, Delray Beach, FL 33445, USA",Florida Complete Psychiatry,Not available,0,(561) 808-7205,https://www.brainfixmd.com/?utm_source=gmb_auth,https://maps.google.com/?cid=9325914204877026545
Psychiatric hospital,34.55 Miles,38 mins,26.1205354,-80.1995957,"Chrysalis Health Administrative Office 3800 W Broward Blvd, Fort Lauderdale, FL 33312, USA",Chrysalis Health Administrative Office,2.5,5,(954) 587-1008,http://www.chrysalishealth.com/,https://maps.google.com/?cid=12952437858338029876
Psychiatric hospital,9.01 Miles,16 mins,26.4599605,-80.0688151,"Delray Center for Healing 95 SE 4th Ave, Delray Beach, FL 33483, USA",Delray Center for Healing,4.5,5,(561) 266-8866,https://www.delraycenter.com/,https://maps.google.com/?cid=8971245576707695995
Psychiatric hospital,16.71 Miles,21 mins,26.7613642,-80.0878094,"JFK Medical Center - North Campus 2201 45th St, West Palm Beach, FL 33407, USA",JFK Medical Center - North Campus,3.5,5,(561) 842-6141,http://jfkmc.com/location/jfkmc-north-campus?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://maps.google.com/?cid=7448956384024963707
Psychiatric hospital,10.69 Miles,15 mins,26.4388405,-80.1153341,"The Children's Center for Psychiatry, Psychology and Related Services 4600 Linton Blvd, Delray Beach, FL 33445, USA","The Children's Center for Psychiatry, Psychology and Related Services",3.8,5,(561) 223-6568,http://childrenstreatmentcenter.com/,https://maps.google.com/?cid=10832695907583422196
Psychiatric hospital,30.26 Miles,36 mins,26.1888819,-80.1146588,"Mariana Martinasevic 2400 E Commercial Blvd, Fort Lauderdale, FL 33308, USA",Mariana Martinasevic,3,5,(954) 491-4455,https://docmm.org/,https://maps.google.com/?cid=9755046553005515844
Psychiatric hospital,29.58 Miles,35 mins,26.1978751,-80.1096086,"Henderson Mental Health Center 5640 NE 27th Ave, Fort Lauderdale, FL 33308, USA",Henderson Mental Health Center,Not available,0,(954) 735-1901,http://www.hendersonbh.org/,https://maps.google.com/?cid=7604088012288912838
Psychiatric hospital,7.33 Miles,15 mins,26.4769615,-80.0895466,"Life Choice Solutions, LLC 1200 NW 17th Ave, Delray Beach, FL 33445, USA","Life Choice Solutions, LLC",Not available,0,(561) 265-5453,http://www.lcstreatment.com/,https://maps.google.com/?cid=10157759264791464756
Psychiatric hospital,29.2 Miles,36 mins,26.206738,-80.1109399,"Behavioral Health Services At Broward Health Imperial Point 6401 N Federal Hwy, Fort Lauderdale, FL 33308, USA",Behavioral Health Services At Broward Health Imperial Point,Not available,0,(954) 776-8500,https://www.browardhealth.org/locations/broward-health-imperial-point,https://maps.google.com/?cid=3247680780086666510
Psychiatric hospital,34.49 Miles,41 mins,26.1264812,-80.2052646,"Rodriguez Oscar MD 401 NW 42nd Ave, Plantation, FL 33317, USA",Rodriguez Oscar MD,Not available,0,(954) 587-5010,http://plantationgeneral.com/,https://maps.google.com/?cid=1556129848740464517
Psychiatric hospital,26.97 Miles,33 mins,26.2164916,-80.1349358,"Henderson Mental Health Center 868 SW 10th St, Pompano Beach, FL 33060, USA",Henderson Mental Health Center,Not available,0,(954) 785-4079,http://www.hendersonbh.org/,https://maps.google.com/?cid=17740792040713927119
Psychiatric hospital,8.76 Miles,14 mins,26.4581776,-80.1090441,"TMS of the Palm Beaches - Depression Treatment Specialists Atlantic Ave @ Villa Deste, Delray Beach, FL 33445, USA",TMS of the Palm Beaches - Depression Treatment Specialists,4.7,5,(561) 332-3285,https://www.tmspalmbeaches.com/,https://maps.google.com/?cid=16876720808371182735
Psychiatric hospital,35.67 Miles,39 mins,26.1125131,-80.1425967,"Hohnecker Laura C PHD 12 SE 7th St, Fort Lauderdale, FL 33301, USA",Hohnecker Laura C PHD,Not available,0,(954) 440-0528,http://www.psychalliance.net/,https://maps.google.com/?cid=13231528477260555213
Psychiatric hospital,11.74 Miles,20 mins,26.436308,-80.1294,"Fair Oaks Pavilion Behavioral 5440 Linton Blvd, Delray Beach, FL 33484, USA",Fair Oaks Pavilion Behavioral,1.9,5,(561) 495-1000,http://delraymedicalctr.com/,https://maps.google.com/?cid=16328728166665503604
Psychiatric hospital,19.08 Miles,24 mins,26.7849942,-80.1126728,"Dr. Eduardo I. Pena, MD Unnamed Road, Riviera Beach, FL 33418, USA","Dr. Eduardo I. Pena, MD",5,1,(561) 422-8262,https://www.westpalmbeach.va.gov/,https://maps.google.com/?cid=16869906378726047464
Psychiatric hospital,33.99 Miles,43 mins,26.2132449,-80.2545243,"Krithika Iyer 7421 N University Dr Ste 101, Tamarac, FL 33321, USA",Krithika Iyer,5,5,(954) 724-6680,https://efbhn.com/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://maps.google.com/?cid=9953880556178962808
Psychiatric hospital,30.39 Miles,34 mins,26.1944305,-80.1845718,"Henderson Behavioral Health 2900 Prospect Rd, Fort Lauderdale, FL 33309, USA",Henderson Behavioral Health,2.5,5,(954) 731-1000,Not available,https://maps.google.com/?cid=276936149391382829
Psychiatric hospital,15.41 Miles,18 mins,26.3704052,-80.1258806,"Relationship Center Of South Florida 2200 NW 24th St, Boca Raton, FL 33431, USA",Relationship Center Of South Florida,4.4,5,(561) 955-6090,https://www.rcosf.com/,https://maps.google.com/?cid=15096704424196256373
Psychiatric hospital,34.36 Miles,37 mins,26.1214912,-80.1949718,"Chrysalis Health Psychiatric Services 3521 W Broward Blvd, Fort Lauderdale, FL 33312, USA",Chrysalis Health Psychiatric Services,1,1,(954) 587-1008,http://www.chrysalishealth.com/,https://maps.google.com/?cid=12317698386471372604
Psychiatric hospital,13.36 Miles,21 mins,26.4491675,-80.1452539,"Riana (Terriana) Milne, Cert. Relationship, Life & Love Coach, LMHC, CAP;Therapy by the Sea, LLC 15300 Jog Rd, Delray Beach, FL 33446, USA","Riana (Terriana) Milne, Cert. Relationship, Life & Love Coach, LMHC, CAP;Therapy by the Sea, LLC",Not available,0,(201) 281-7887,http://www.rianamilne.com/,https://maps.google.com/?cid=11685395585175245757
Psychiatric hospital,28.09 Miles,59 mins,27.465965,-81.4330512,"Sebring Hospital Management Associates 3600 S Highlands Ave, Sebring, FL 33870, USA",Sebring Hospital Management Associates,Not available,0,(863) 385-6101,http://highlandsregional.com/,https://maps.google.com/?cid=17920532251614194248
Psychiatric hospital,30.2 Miles,59 mins,27.2243377,-81.8532351,"DeSoto Psychiatric Services 811 N Mills Ave, Arcadia, FL 34266, USA",DeSoto Psychiatric Services,4,5,(863) 494-4200,http://www.desotopsychiatric.com/,https://maps.google.com/?cid=7409526929507807818
Psychiatric hospital,38.4 Miles,1 hour 13 mins,27.567671,-81.503447,"Florida Center For Addictions 100 W College Dr, Avon Park, FL 33825, USA",Florida Center For Addictions,3.3,5,(863) 452-3858,http://tchsonline.org/the-florida-center-for-addictions-and-dual-disorders/,https://maps.google.com/?cid=13437794487612690343
Psychiatric hospital,29.58 Miles,57 mins,27.214611,-81.853748,"Mental Health Community Centers, Inc 513 E Hickory St, Arcadia, FL 34266, USA","Mental Health Community Centers, Inc",Not available,0,(863) 993-9266,http://mhcci.com/,https://maps.google.com/?cid=9422953190432271279
Psychiatric hospital,34.67 Miles,1 hour 9 mins,27.5196778,-81.4838063,"Next Generation Village 248 Northwood Rd, Sebring, FL 33870, USA",Next Generation Village,3.9,5,(863) 658-0495,https://www.nextgenerationvillage.com/,https://maps.google.com/?cid=6352374345249253714
Psychiatric hospital,36.35 Miles,1 hour 11 mins,27.5385829,-81.5055444,"Daybreak Behavioral Health 4023 Sun N Lake Blvd, Sebring, FL 33872, USA",Daybreak Behavioral Health,Not available,0,(863) 314-4357,Not available,https://maps.google.com/?cid=5689384033623320912
Psychiatric hospital,28.83 Miles,1 hour 0 mins,27.4735276,-81.4436764,"Florida Psychiatric Associates, Dr. Mark Ashby, MD 2821 Alternate, US-27, Sebring, FL 33870, USA","Florida Psychiatric Associates, Dr. Mark Ashby, MD",3.3,5,(863) 382-3914,https://florida-psychiatric-associates-dr-mark-ashby-md.business.site/,https://maps.google.com/?cid=10773354905777357153
Psychiatric hospital,29.83 Miles,1 hour 2 mins,27.4848991,-81.4282657,"Volunteers of America 1427 Queen Palm Ave, Sebring, FL 33870, USA",Volunteers of America,Not available,0,(863) 402-1325,https://www.voa.org/,https://maps.google.com/?cid=9454514268080827024
Psychiatric hospital,25.29 Miles,55 mins,26.7541061,-80.0668826,"Jerome Golden Center 1041 45th St, West Palm Beach, FL 33407, USA",Jerome Golden Center,3.3,3,(561) 383-8000,Not available,https://maps.google.com/?cid=5603736359585643498
Psychiatric hospital,31.13 Miles,1 hour 5 mins,27.297306,-80.271333,"Port St. Lucie Hospital 2550 SE Walton Rd, Port St. Lucie, FL 34952, USA",Port St. Lucie Hospital,2.9,5,(772) 335-0400,https://www.portstluciehospitalinc.com/,https://maps.google.com/?cid=11260138103552968296
Psychiatric hospital,33.12 Miles,1 hour 0 mins,26.6508045,-80.0971002,"Zenith Psychological services 3600 FL-882, Palm Springs, FL 33406, USA",Zenith Psychological services,3,2,(786) 230-6591,Not available,https://maps.google.com/?cid=3534139005908669922
Psychiatric hospital,24.11 Miles,53 mins,26.7616707,-80.087873,"West Palm Behavioral Health 2202 45th St, West Palm Beach, FL 33407, USA",West Palm Behavioral Health,3.7,3,(561) 964-7511,http://westpalmhospital.com/service/behavioral-health,https://maps.google.com/?cid=14905906883832844258
Psychiatric hospital,24.05 Miles,53 mins,26.7614991,-80.0869253,"Columbia Partial Hospital 2151 45th St, West Palm Beach, FL 33407, USA",Columbia Partial Hospital,4,1,(561) 882-0252,http://www.columbiahospital.com/,https://maps.google.com/?cid=17307041382521755216
Psychiatric hospital,24.05 Miles,52 mins,26.7598671,-80.0868531,"West Palm Behavioral Health 4631 N Congress Ave, West Palm Beach, FL 33407, USA",West Palm Behavioral Health,5,5,(561) 803-8219,http://efbhn.com/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://maps.google.com/?cid=7552579759452454296
Psychiatric hospital,10.38 Miles,31 mins,26.977039,-80.101789,"SandyPines Residential Treatment Center 11301 SE Tequesta Terrace, Jupiter, FL 33469, USA",SandyPines Residential Treatment Center,2.9,5,(561) 744-0211,http://sandypineshospital.com/,https://maps.google.com/?cid=7103677048584070826
Psychiatric hospital,28.89 Miles,57 mins,26.7107935,-80.061196,"Peer Place Community Support Center 909 Fern St, West Palm Beach, FL 33401, USA",Peer Place Community Support Center,5,1,(561) 712-0584,Not available,https://maps.google.com/?cid=6375400812430357922
Psychiatric hospital,39.77 Miles,59 mins,27.2045509,-80.4828496,"Treasure Coast Forensic Treatment Center 96 SW Allapatah Rd, Indiantown, FL 34956, USA",Treasure Coast Forensic Treatment Center,2.3,5,(772) 597-9400,http://www.correctcarers.com/tcftc/,https://maps.google.com/?cid=10999778658276844849
Psychiatric hospital,18.95 Miles,42 mins,27.13162,-80.221314,"Coral Shores Behavioral Health 5995 SE Community Dr, Stuart, FL 34997, USA",Coral Shores Behavioral Health,2.7,5,(772) 403-4000,http://coralshoresbehavioral.com/,https://maps.google.com/?cid=4118344810139198336
Psychiatric hospital,53.25 Miles,1 hour 14 mins,27.4372348,-80.3436358,"Treasure Coast Behavioral Healthcare Adult Unit 1860 N Lawnwood Cir, Fort Pierce, FL 34950, USA",Treasure Coast Behavioral Healthcare Adult Unit,3,4,(772) 466-1500,http://lawnwoodmed.com/service/behavioral-health,https://maps.google.com/?cid=6811266043500473272
Psychiatric hospital,24.42 Miles,54 mins,27.2155192,-80.2623112,"Suncoast Mental Health Center 850 NW Federal Hwy, Stuart, FL 34994, USA",Suncoast Mental Health Center,1,2,(772) 221-8585,Not available,https://maps.google.com/?cid=11138336191273116763
Psychiatric hospital,25.79 Miles,55 mins,26.740575,-80.069984,"Jerome Golden Center for Behavior Health New Focus Building 2935 N Australian Ave, West Palm Beach, FL 33407, USA",Jerome Golden Center for Behavior Health New Focus Building,5,1,(561) 383-8000,Not available,https://maps.google.com/?cid=17557437396819943686
Psychiatric hospital,22.93 Miles,52 mins,27.1952782,-80.2587416,"Leever Mental Health Counseling 607 SW St Lucie Crescent, Stuart, FL 34994, USA",Leever Mental Health Counseling,Not available,0,(772) 872-6175,Not available,https://maps.google.com/?cid=8845912838707956368
Psychiatric hospital,24.11 Miles,53 mins,26.7613642,-80.0878094,"JFK Medical Center - North Campus 2201 45th St, West Palm Beach, FL 33407, USA",JFK Medical Center - North Campus,3.5,5,(561) 842-6141,http://jfkmc.com/location/jfkmc-north-campus?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://maps.google.com/?cid=7448956384024963707
Psychiatric hospital,22.68 Miles,51 mins,26.7849942,-80.1126728,"Dr. Eduardo I. Pena, MD Unnamed Road, Riviera Beach, FL 33418, USA","Dr. Eduardo I. Pena, MD",5,1,(561) 422-8262,https://www.westpalmbeach.va.gov/,https://maps.google.com/?cid=16869906378726047464
Psychiatric hospital,54.37 Miles,1 hour 14 mins,27.415257,-80.3268023,"New Horizons of the Treasure 404 Ixoria Ave, Fort Pierce, FL 34982, USA",New Horizons of the Treasure,2.8,5,(772) 468-3910,http://www.nhtcinc.org/,https://maps.google.com/?cid=7828345268655399762
Psychiatric hospital,22.18 Miles,49 mins,27.1864636,-80.245868,"Restore Hope, LLC 1320 SE Federal Hwy, Stuart, FL 34994, USA","Restore Hope, LLC",Not available,0,(772) 222-5637,https://www.restorehopefla.com/?utm_source=gmb_auth,https://maps.google.com/?cid=7258999600924055198
Psychiatric hospital,14.04 Miles,37 mins,26.892547,-80.060545,"Laura DeLuca, MD 790 Juno Ocean Walk, Juno Beach, FL 33408, USA","Laura DeLuca, MD",Not available,0,(561) 333-8884,http://advancedmentalhealth.com/?utm_source=gmb_auth,https://maps.google.com/?cid=8315632454042532114
Psychiatric hospital,26.04 Miles,1 hour 2 mins,26.7264555,-80.0511347,"The Renfrew Center for Eating Disorders - West Palm Beach, FL 1515 N Flagler Dr, West Palm Beach, FL 33401, USA","The Renfrew Center for Eating Disorders - West Palm Beach, FL",Not available,0,(800) 736-3739,http://www.renfrewcenter.com/,https://maps.google.com/?cid=7516220110721400182
Psychiatric hospital,36.47 Miles,1 hour 4 mins,26.6180926,-80.092529,"Henderson Behavioral Health 3199 Lake Worth Rd, Palm Springs, FL 33461, USA",Henderson Behavioral Health,5,1,(561) 649-6500,http://www.hendersonbh.org/,https://maps.google.com/?cid=4427032630873512538
Psychiatric hospital,25.85 Miles,57 mins,26.756349,-80.063219,"St Mary's Medical Center: Koppada Ravishankar MD 901 45th St, West Palm Beach, FL 33407, USA",St Mary's Medical Center: Koppada Ravishankar MD,3.7,3,Not available,https://www.stmarysmc.com/,https://maps.google.com/?cid=10708808046311920814
Psychiatric hospital,25.35 Miles,55 mins,26.754505,-80.067153,"Jerome Golden Center Behavioral 1041 45th St, West Palm Beach, FL 33407, USA",Jerome Golden Center Behavioral,1.9,5,(561) 383-8000,Not available,https://maps.google.com/?cid=7255103937762679997
Psychiatric hospital,36.97 Miles,50 mins,27.2045509,-80.4828496,"Treasure Coast Forensic Treatment Center 96 SW Allapatah Rd, Indiantown, FL 34956, USA",Treasure Coast Forensic Treatment Center,2.3,5,(772) 597-9400,http://www.correctcarers.com/tcftc/,https://maps.google.com/?cid=10999778658276844849
Psychiatric hospital,60.27 Miles,1 hour 22 mins,27.6611122,-80.3963863,"Behavioral Health Center at IRMC 1190 37th St, Vero Beach, FL 32960, USA",Behavioral Health Center at IRMC,1.8,5,(772) 563-4666,https://www.indianrivermedicalcenter.com/service/behavioral/,https://maps.google.com/?cid=4211982534874918290
Psychiatric hospital,57.41 Miles,1 hour 17 mins,27.6288568,-80.3960209,"Suncoast Mental Health Center 1456 Old Dixie Hwy, Vero Beach, FL 32960, USA",Suncoast Mental Health Center,1,1,(772) 564-8616,Not available,https://maps.google.com/?cid=13431378341909313757
Psychiatric hospital,60.21 Miles,1 hour 23 mins,27.6615509,-80.3960327,"Dr. Richard Dreize 1190 37th St, Vero Beach, FL 32960, USA",Dr. Richard Dreize,Not available,0,(772) 563-4666,https://www.indianrivermedicalcenter.com/,https://maps.google.com/?cid=14553305819007982833
Psychiatric hospital,60.15 Miles,1 hour 22 mins,27.661687,-80.390028,"Mental Health Association 820 37th Pl, Vero Beach, FL 32960, USA",Mental Health Association,3.8,5,(772) 569-9788,http://www.mhairc.org/,https://maps.google.com/?cid=12453141886652233074
Psychiatric hospital,60.15 Miles,1 hour 22 mins,27.6612652,-80.3902078,"UF Health Center for Psychiatry and Addiction Medicine ? Vero Beach 840 37th Pl, Vero Beach, FL 32960, USA",UF Health Center for Psychiatry and Addiction Medicine ? Vero Beach,3.1,5,(772) 794-0179,https://ufhealth.org/uf-health-center-psychiatry-and-addiction-vero-beach,https://maps.google.com/?cid=2236001872999401358
Psychiatric hospital,61.7 Miles,1 hour 17 mins,27.645584,-80.414138,"CrossLife Ministries 2501 27th Ave, Vero Beach, FL 32960, USA",CrossLife Ministries,4.7,5,(772) 563-0430,http://crosslife-ministries.business.site/,https://maps.google.com/?cid=10821026225598446200
Psychiatric hospital,45.86 Miles,58 mins,27.3201494,-80.4020451,"Ambrosia Treatment Center 546 NW University Blvd, Port St. Lucie, FL 34986, USA",Ambrosia Treatment Center,4.9,5,(772) 318-4320,https://www.ambrosiatc.com/locations/florida-drug-rehab-port-st-lucie/?ambTRK=PSL-LISTING,https://maps.google.com/?cid=14729199997123292570
Psychiatric hospital,73.94 Miles,1 hour 22 mins,27.7916091,-80.4860168,"Sleep Disorder Center 705 E Sebastian Blvd, Sebastian, FL 32958, USA",Sleep Disorder Center,1,2,(772) 581-5655,Not available,https://maps.google.com/?cid=4620055655354564165
Psychiatric hospital,10.07 Miles,18 mins,27.2476544,-80.8308631,"Health Haven llc 103 NW 5th St, Okeechobee, FL 34972, USA",Health Haven llc,5,2,(863) 261-8354,Not available,https://maps.google.com/?cid=15748894146076879934
Psychiatric hospital,61.64 Miles,1 hour 10 mins,27.6371849,-80.4954219,"New Horizons of Treasure Coast, Inc. 1910 82nd Ave, Vero Beach, FL 32966, USA","New Horizons of Treasure Coast, Inc.",4.5,2,(772) 778-7217,http://nhtcinc.org/,https://maps.google.com/?cid=7714297909610707621
Psychiatric hospital,0.0 Miles,1 min,27.297306,-80.271333,"Port St. Lucie Hospital 2550 SE Walton Rd, Port St. Lucie, FL 34952, USA",Port St. Lucie Hospital,2.9,5,(772) 335-0400,https://www.portstluciehospitalinc.com/,https://maps.google.com/?cid=11260138103552968296
Psychiatric hospital,29.89 Miles,48 mins,26.977039,-80.101789,"SandyPines Residential Treatment Center 11301 SE Tequesta Terrace, Jupiter, FL 33469, USA",SandyPines Residential Treatment Center,2.9,5,(561) 744-0211,http://sandypineshospital.com/,https://maps.google.com/?cid=7103677048584070826
Psychiatric hospital,14.04 Miles,27 mins,27.13162,-80.221314,"Coral Shores Behavioral Health 5995 SE Community Dr, Stuart, FL 34997, USA",Coral Shores Behavioral Health,2.7,5,(772) 403-4000,http://coralshoresbehavioral.com/,https://maps.google.com/?cid=4118344810139198336
Psychiatric hospital,27.71 Miles,38 mins,27.2045509,-80.4828496,"Treasure Coast Forensic Treatment Center 96 SW Allapatah Rd, Indiantown, FL 34956, USA",Treasure Coast Forensic Treatment Center,2.3,5,(772) 597-9400,http://www.correctcarers.com/tcftc/,https://maps.google.com/?cid=10999778658276844849
Psychiatric hospital,28.83 Miles,47 mins,27.6611122,-80.3963863,"Behavioral Health Center at IRMC 1190 37th St, Vero Beach, FL 32960, USA",Behavioral Health Center at IRMC,1.8,5,(772) 563-4666,https://www.indianrivermedicalcenter.com/service/behavioral/,https://maps.google.com/?cid=4211982534874918290
Psychiatric hospital,25.97 Miles,42 mins,27.6288568,-80.3960209,"Suncoast Mental Health Center 1456 Old Dixie Hwy, Vero Beach, FL 32960, USA",Suncoast Mental Health Center,1,1,(772) 564-8616,Not available,https://maps.google.com/?cid=13431378341909313757
Psychiatric hospital,6.77 Miles,13 mins,27.2155192,-80.2623112,"Suncoast Mental Health Center 850 NW Federal Hwy, Stuart, FL 34994, USA",Suncoast Mental Health Center,1,2,(772) 221-8585,Not available,https://maps.google.com/?cid=11138336191273116763
